dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-09,1,9,2020,565.0,3.0,Belgium,BE,BEL,11522440,Europe
2020-01-09,1,9,2020,55.0,0.0,Slovenia,SI,SVN,2095861,Europe
2020-01-09,1,9,2020,53.0,0.0,Slovakia,SK,SVK,5457873,Europe
2020-01-09,1,9,2020,31.0,0.0,Lithuania,LT,LTU,2794090,Europe
2020-01-09,1,9,2020,20.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-09,1,9,2020,207.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-09,1,9,2020,497.0,1.0,Czechia,CZ,CZE,10693939,Europe
2020-01-09,1,9,2020,0.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-09,1,9,2020,467.0,6.0,Netherlands,NL,NLD,17407585,Europe
2020-01-09,1,9,2020,115.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-09,1,9,2020,8.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-09,1,9,2020,975.0,8.0,Italy,IT,ITA,59641488,Europe
2020-01-09,1,9,2020,145.0,1.0,Croatia,HR,HRV,4058165,Europe
2020-01-09,1,9,2020,99.0,0.0,Denmark,DK,DNK,5822763,Europe
2020-01-09,1,9,2020,286.0,2.0,Austria,AT,AUT,8901064,Europe
2020-01-09,1,9,2020,214.0,0.0,Ireland,IE,IRL,4964440,Europe
2020-01-09,1,9,2020,4982.0,26.0,France,FR,FRA,67320216,Europe
2020-01-09,1,9,2020,188.0,16.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-09,1,9,2020,352.0,3.0,Portugal,PT,PRT,10295909,Europe
2020-01-09,1,9,2020,5.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-09,1,9,2020,171.0,3.0,Sweden,SE,SWE,10327589,Europe
2020-01-09,1,9,2020,118.0,1.0,Hungary,HU,HUN,9769526,Europe
2020-01-09,1,9,2020,550.0,19.0,Poland,PL,POL,37958138,Europe
